taxonomy_id,name,taxonomy_lvl
2975776,Streptomyces sp. NBC_00557,S
66871,Streptomyces aureoverticillatus,S
3066315,Spiroplasma endosymbiont of Ammophila pubescens,S
37692,Candidatus Phytoplasma mali,S
114525,Saccharomyces mikatae,S
453459,Kwoniella pini,S
5663,Leishmania enriettii,S
2934340,Halocatena salina,S
1872114,Acidiplasma sp.,S
3060758,Tupanvirus salinum,S
57706,Citrobacter braakii,S
208223,Kosakonia cowanii,S
51049,Actinobacillus indolicus,S
446,Legionella pneumophila,S
2906077,Flavobacterium davisii,S
56,Sorangium cellulosum,S
2283194,Sporosarcina sp. PTS2304,S
1155388,Clostridium sp. C1,S
1534,Clostridium kluyveri,S
5454,Ascochyta rabiei,S
5866,Babesia bigemina,S
5665,Leishmania mexicana,S
564,Escherichia fergusonii,S
2992143,Halomonas sp. BDJS001,S
573569,Francisella salina,S
2560057,Terasakiella sp. SH-1,S
1758395,Polynucleobacter sp. JS-JIR-5-A7,S
3016636,Diaphorobacter sp. ED-3,S
29533,Flavobacterium pectinovorum,S
218490,Polaribacter butkevichii,S
1848904,Capnocytophaga stomatis,S
2763023,Bacteroides hominis,S
2681766,Maribellus comscasis,S
522485,Campylobacter avium,S
3047871,Neobacillus sp. DY30,S
1490,Paraclostridium bifermentans,S
2034170,Trichoderma breve,S
114524,Saccharomyces kudriavzevii,S
1922217,Candidatus Erwinia haradaeae,S
1190813,Pseudoalteromonas shioyasakiensis,S
38293,Photobacterium damselae,S
28110,Francisella philomiragia,S
33045,Bartonella grahamii,S
1971397,Roseateles sp.,S
2126553,Christiangramia fulva,S
62088,Borreliella valaisiana,S
2026188,Bacillus tropicus,S
2913506,Lysinibacillus sp. ACHW1.5,S
55583,Dehalobacter restrictus,S
2991545,Kitasatospora fiedleri,S
1080349,Saccharomyces eubayanus,S
348837,Spironucleus salmonicida,S
3396619,Halosimplex rarum,S
418008,Methanosarcina horonobensis,S
3125783,Methanolobus sp. ZRKC2,S
1134687,Klebsiella michiganensis,S
2744479,Flocculibacter collagenilyticus,S
3232307,Vibrio sp. HB236076,S
2025949,Herbaspirillum sp. meg3,S
2183896,Flavobacterium crocinum,S
398743,Zunongwangia profunda,S
2932268,Psychroserpens ponticola,S
2996035,Sphingobacterium sp. SYP-B4668,S
3445778,Neobacillus sp. D3-1R,S
1156431,Streptococcus ilei,S
1911586,Marinilactibacillus sp. 15R,S
33039,[Ruminococcus] torques,S
42260,Zygotorulaspora mrakii,S
2743089,Halorarum salinum,S
3459125,Aliikangiella sp. IMCC44359,S
217203,Achromobacter spanius,S
1630406,Tamlana sp. s12,S
2954511,Solibacillus sp. FSL H8-0523,S
47770,Lactobacillus crispatus,S
1308,Streptococcus thermophilus,S
51665,Aerococcus urinaeequi,S
1541,Terrisporobacter mayombei,S
29329,Thermoanaerobacterium xylanolyticum,S
1328300,Fusarium keratoplasticum,S
101201,Trichoderma asperellum,S
2850,Phaeodactylum tricornutum,S
2817410,Pseudomonas sp. Z1-29,S
296,Pseudomonas fragi,S
298657,Pseudoalteromonas spongiae,S
85402,Mannheimia granulomatis,S
485,Neisseria gonorrhoeae,S
1979344,Flavobacterium sp. MDT1-60,S
2975157,Marinilongibacter aquaticus,S
574376,Bacillus manliponensis,S
3082444,Niallia sp. XMNu-256,S
2094020,Trichococcus shcherbakoviae,S
3062461,Corynebacterium mayonis,S
2597771,Fischerella sp. JS2,S
1220207,Aspergillus puulaauensis,S
58839,Encephalitozoon intestinalis,S
1574161,Proteus terrae,S
3071081,Pseudoalteromonas sp. HL-AS1,S
346,Xanthomonas citri,S
86304,Saccharophagus degradans,S
48074,Microbulbifer hydrolyticus,S
3080976,Roseovarius phycicola,S
2602015,Hypericibacter terrae,S
621374,Pararobbsia alpina,S
1803846,Flavivirga eckloniae,S
821,Phocaeicola vulgatus,S
201,Campylobacter lari,S
45498,Helicobacter cholecystus,S
47466,Borrelia miyamotoi,S
3115291,Pseudalkalibacillus nanhaiensis,S
1702238,Clostridium sp. MF28,S
79209,Desulfosporosinus meridiei,S
564305,Kwoniella shivajii,S
1846278,Candidatus Nitrosotenuis aquarius,S
128785,Pseudoxanthomonas mexicana,S
2591606,Microbulbifer sp. GL-2,S
593909,Mesorhizobium opportunistum,S
3458682,Flavobacterium sp. 25HG05S-40,S
3423948,Flavobacterium sp. P21,S
33952,Acetobacterium woodii,S
1971,Streptomyces noursei,S
3240071,Streptosporangium sp. CA-115845,S
2878255,Cyanobacterium sp. DS4,S
216945,Spiroplasma syrphidicola,S
1247712,Kwoniella europaea,S
2994493,Sodalis-like secondary symbiont of Drepanosiphum platanoidis,S
2921518,Pseudomonas sp. FSL L8-0168,S
3241170,Psychromonas sp. GE-S-Ul-11,S
2698672,Flagellimonas oceani,S
1761453,Euzebyella marina,S
652787,Mucilaginibacter mallensis,S
1096,Chlorobium phaeobacteroides,S
2921700,Cytobacillus sp. FSL W7-1323,S
3064705,Clostridium sp. JS66,S
1380675,Haloimpatiens lingqiaonensis,S
3239997,Nonomuraea sp. CA-143628,S
29556,Mycoplasmopsis gallinacea,S
2093780,Podospora pseudopauciseta,S
549,Pantoea agglomerans,S
1407071,Acinetobacter sp. TGL-Y2,S
