"","x"
"161","3.2.2.21-RXN: (expasy) DNA-3-methyladenine glycosylase II [3.2.2.21]"
"162","3.3.2.10-RXN: (expasy) Soluble epoxide hydrolase [3.3.2.10]"
"163","3.3.2.9-RXN: (expasy) Microsomal epoxide hydrolase [3.3.2.9]"
"164","3.4.11.19-RXN: (expasy) D-stereospecific aminopeptidase [3.4.11.19]"
"165","3.4.11.2-RXN: (expasy) AMBIGUOUS [3.4.11.14; 3.4.11.2]"
"166","3.4.11.5-RXN: (expasy) Prolyl aminopeptidase [3.4.11.5]"
"167","3.4.11.7-RXN: (expasy) Glutamyl aminopeptidase [3.4.11.7]"
"168","3.4.13.21-RXN: (expasy) Dipeptidase E [3.4.13.21]"
"169","3.4.13.22-RXN: (expasy) D-Ala-D-Ala dipeptidase [3.4.13.22]"
"170","3.4.13.9-RXN: (expasy) Xaa-Pro dipeptidase [3.4.13.9]"
"171","3.4.14.11-RXN: (expasy) Xaa-Pro dipeptidyl-peptidase [3.4.14.11]"
"172","3.4.14.12-RXN: (expasy) Xaa-Xaa-Pro tripeptidyl-peptidase [3.4.14.12]"
"173","3.4.14.4-RXN: (expasy) Dipeptidyl-peptidase III [3.4.14.4]"
"174","3.4.14.5-RXN: (expasy) Dipeptidyl-peptidase IV [3.4.14.5]"
"175","3.4.15.5-RXN: (expasy) Peptidyl-dipeptidase Dcp [3.4.15.5]"
"176","3.4.17.19-RXN: (expasy) Carboxypeptidase Taq [3.4.17.19]"
"177","3.4.21.83-RXN: (expasy) Oligopeptidase B [3.4.21.83]"
"178","3.4.22.40-RXN: (expasy) Bleomycin hydrolase [3.4.22.40]"
"179","3.4.23.43-RXN: (expasy) Prepilin peptidase [3.4.23.43]"
"180","3.4.24.3-RXN: (expasy) Microbial collagenase [3.4.24.3]"
"181","3.4.24.55-RXN: (expasy) Pitrilysin [3.4.24.55]"
"182","3.4.24.57-RXN: (expasy) O-sialoglycoprotein endopeptidase [3.4.24.57]"
"183","3.4.24.75-RXN: (expasy) Lysostaphin [3.4.24.75]"
"184","3.5.1.77-RXN: (expasy) N-carbamoyl-D-amino-acid hydrolase [3.5.1.77]"
"185","3.5.1.81-RXN: (expasy) N-acyl-D-amino-acid deacylase [3.5.1.81]"
"186","3.5.1.87-RXN: (expasy) N-carbamoyl-L-amino-acid hydrolase [3.5.1.87]"
"187","3.5.1.91-RXN: (expasy) N-substituted formamide deformylase [3.5.1.91]"
"188","3.5.1.98-RXN: (expasy) Histone deacetylase [3.5.1.98]"
"189","3.5.2.12-RXN: (expasy) 6-aminohexanoate-cyclic-dimer hydrolase [3.5.2.12]"
"190","3.5.2.14-RXN: (expasy) N-methylhydantoinase (ATP-hydrolyzing) [3.5.2.14]"
"191","3.5.2.17-RXN: (expasy) Hydroxyisourate hydrolase [3.5.2.17]"
"192","3.5.3.22-RXN: (expasy) Proclavaminate amidinohydrolase [3.5.3.22]"
"193","3.5.4.22-RXN: (expasy) 1-pyrroline-4-hydroxy-2-carboxylate deaminase [3.5.4.22]"
"194","3.5.4.27-RXN: (expasy) Methenyltetrahydromethanopterin cyclohydrolase [3.5.4.27]"
"195","3.5.4.30-RXN: (expasy) dCTP deaminase (dUMP-forming) [3.5.4.30]"
"196","3.5.5.7-RXN: (expasy) Aliphatic nitrilase [3.5.5.7]"
"197","3.6.1.41-RXN: (expasy) Bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [3.6.1.41]"
"198","3.6.1.52-RXN: (expasy) Diphosphoinositol-polyphosphate diphosphatase [3.6.1.52]"
"199","3.6.3.41-RXN: (expasy) ABC-type heme transporter [7.6.2.5]"
"200","3.6.3.42-RXN: (expasy) ABC-type beta-glucan transporter [7.5.2.3]"
"201","3.7.1.8-RXN: (expasy) 2,6-dioxo-6-phenylhexa-3-enoate hydrolase [3.7.1.8]"
"202","3.7.1.9-RXN: (expasy) 2-hydroxymuconate-6-semialdehyde hydrolase [3.7.1.9]"
"203","3.8.1.7-RXN: (expasy) 4-chlorobenzoyl-CoA dehalogenase [3.8.1.7]"
"204","3.8.1.8-RXN: (expasy) Atrazine chlorohydrolase [3.8.1.8]"
"205","4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN: (expasy) 4-hydroxy-2-oxoheptanedioate aldolase [4.1.2.52]"
"206","4-HYDROXYBENZOATE-DECARBOXYLASE-RXN: (expasy) 4-hydroxybenzoate decarboxylase [4.1.1.61]"
"207","4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN: (expasy) 4-hydroxyphenylpyruvate dioxygenase [1.13.11.27]"
"208","4-HYDROXYPROLINE-EPIMERASE-RXN: (expasy) 4-hydroxyproline epimerase [5.1.1.8]"
"209","4.1.1.32-RXN: (expasy) Phosphoenolpyruvate carboxykinase (GTP) [4.1.1.32]"
"210","4.1.1.64-RXN: (expasy) 2,2-dialkylglycine decarboxylase (pyruvate) [4.1.1.64]"
"211","4.1.1.75-RXN: (expasy) 5-guanidino-2-oxopentanoate decarboxylase [4.1.1.75]"
"212","4.1.1.77-RXN: (expasy) 2-oxo-3-hexenedioate decarboxylase [4.1.1.77]"
"213","4.1.1.83-RXN: (expasy) 4-hydroxyphenylacetate decarboxylase [4.1.1.83]"
"214","4.1.1.86-RXN: (expasy) Diaminobutyrate decarboxylase [4.1.1.86]"
"215","4.1.2.20-RXN: (expasy) 2-dehydro-3-deoxyglucarate aldolase [4.1.2.20]"
"216","4.1.99.4-RXN: (expasy) 1-aminocyclopropane-1-carboxylate deaminase [3.5.99.7]"
"217","4.2.1.103-RXN: (expasy) Cyclohexyl-isocyanide hydratase [4.2.1.103]"
"218","4.2.2.3-RXN: (expasy) Mannuronate-specific alginate lyase [4.2.2.3]"
"219","4.2.3.12-RXN: (expasy) 6-pyruvoyltetrahydropterin synthase [4.2.3.12]"
"220","4.2.99.18-RXN: (expasy) DNA-(apurinic or apyrimidinic site) lyase [4.2.99.18]"
"221","4.3.1.15-RXN: (expasy) Diaminopropionate ammonia-lyase [4.3.1.15]"
"222","45-DIHYDROXYPHTHALATE-DECARBOXYLASE-RXN: (expasy) 4,5-dihydroxyphthalate decarboxylase [4.1.1.55]"
"223","4OHBENZOATE-OCTAPRENYLTRANSFER-RXN: (expasy) 4-hydroxybenzoate polyprenyltransferase [2.5.1.39]"
"224","5.1.2.3-RXN: (expasy) 3-hydroxybutyryl-CoA epimerase [5.1.2.3]"
"225","5.1.3.20-RXN: (expasy) ADP-glyceromanno-heptose 6-epimerase [5.1.3.20]"
"226","5.1.3.23-RXN: (expasy) UDP-2,3-diacetamido-2,3-dideoxyglucuronic acid 2-epimerase [5.1.3.23]"
"227","5.1.3.9-RXN: (expasy) N-acylglucosamine-6-phosphate 2-epimerase [5.1.3.9]"
"228","5.3.1.17-RXN: (expasy) 5-dehydro-4-deoxy-D-glucuronate isomerase [5.3.1.17]"
"229","5.3.1.23-RXN: (expasy) S-methyl-5-thioribose-1-phosphate isomerase [5.3.1.23]"
"230","5.3.3.10-RXN: (expasy) 5-carboxymethyl-2-hydroxymuconate Delta-isomerase [5.3.3.10]"
"231","5.4.1.2-RXN: (expasy) Precorrin-8X methylmutase [5.4.99.61]"
